# Pathway	231	216	237	241	206	240	227	236	210	242	207	215	221	222	229	239	218	208	224	228	233	235	217	212	211	205	245	232	220	214	219	223	202	238	203	234
12DICHLORETHDEG-PWY	0	0.03411268	0	0.22784687	0	0.955422437	0	0	0	0	0	0	0	0	0	2.59916876	0	2.298537415	0	4.602184646	0	0	0	0	3.399315532	0	0.103747631	0	0.356125356	0	0	0	0	0.064121512	0	0
12DICHLORETHDEG-PWY|g__Prevotella.s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.874067041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12DICHLORETHDEG-PWY|g__Prevotella.s__Prevotella_timonensis	0	0	0	0	0	0.814995925	0	0	0	0	0	0	0	0	0	2.444987775	0	2.126198361	0	0	0	0	0	0	2.037489813	0	0	0	0	0	0	0	0	0	0	0
12DICHLORETHDEG-PWY|unclassified	0	0.03411268	0	0.22784687	0	0.140426512	0	0	0	0	0	0	0	0	0	0.154180985	0	0.172339055	0	0.728117605	0	0	0	0	1.36182572	0	0.103747631	0	0.356125356	0	0	0	0	0.064121512	0	0
14DICHLORBENZDEG-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06178576	0	0	0	0	0	0	0	0	0
14DICHLORBENZDEG-PWY|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06178576	0	0	0	0	0	0	0	0	0
1CMET2-PWY	0	108.276812	0	38.03105144	0	37.09800995	0	0	0	0	20.94104879	10.60024969	0	18.36285606	0	231.8829703	0	106.0045097	0	108.0703821	0	0	0	0	224.2030931	0	0	0	0	0	0	26.70294064	0	0	0	0
1CMET2-PWY|unclassified	0	3.226206961	0	0	0	2.962183593	0	0	0	0	0	0	0	0	0	9.229165678	0	5.116383663	0	44.29310718	0	0	0	0	7.100031353	0	0	0	0	0	0	0.729749099	0	0	0	0
2PHENDEG-PWY	0	0	0	0.481695568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043773185	0	0	0	0	0	0	0	0	0	0	0	0
2PHENDEG-PWY|unclassified	0	0	0	0.481695568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043773185	0	0	0	0	0	0	0	0	0	0	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	0	0	0.361532108	0	0	0	0	0	0.023086169	0	0	0	0	0	0	0	0	0	0.404274172	0	0	0	0.003896975	0	0.012962731	0	0	0	0	0	0	0.033877509	0.665811117	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|g__Candida.s__Candida_albicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665811117	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|unclassified	0	0	0	0.361532108	0	0	0	0	0	0.023086169	0	0	0	0	0	0	0	0	0	0.404274172	0	0	0	0.003896975	0	0.012962731	0	0	0	0	0	0	0.033877509	0	0	0
4AMINOBUTMETAB-PWY	0	0	0	0.130064247	0	0.028137635	0	0	0	0	0	0	0	0	0	0	0	0.046931389	0	0.563601053	0	0	0	0	0	0	0	0	0	0	0	0	0.036988839	0	0	0
